movie_title,United Kingdom,Spain,Italy,Germany,Denmark,Hungary,Finland,Netherlands,Iceland,Czech Republic,Switzerland,Slovakia,Ukraine,Portugal,Romania,Lithuania,Bulgaria,Latvia,Croatia,Austria,Poland,Serbia and Montenegro,Estonia,Slovenia,Sweden,Belgium,Norway,Greece,France,Other_European_Countries
Iron Man,34.28,12.03,10.81,8.56,2.22,0.68,0.67,2.1,0.28,0.4,1.36,0.47,0.83,1.32,0.24,0.16,0.16,0.13,0.16,1.02,1,0.03,0.08,0.09,2.06,1.97,1.86,1.8,19.2,1.37
The Incredible Hulk,15.16,7.69,6.46,2.46,1.1,0.31,0.22,1.34,0.15,0.15,0.58,0.2,0.59,0.71,0.15,0.05,0.1,0.05,0.09,0.41,0.48,0.05,0.03,0.06,1.08,1.08,1.53,0.83,9.73,0.7
Iron Man 2,30.46,7.6,9.98,9.25,2.29,0.7,0.8,2.14,0.2,0.44,0.32,0.2,1.2,1.13,0.47,0.1,0.14,0.1,0.21,1.36,1.14,0.04,0.08,0.12,1.97,1.89,2.46,1.57,19.79,6.57
Thor,22.52,12.44,10.9,16.01,1.53,0.74,0.42,1.95,0.26,0.74,,0.19,1.48,1.36,0.77,0.07,0.58,0.1,0.37,1.67,1.61,0.07,0.13,0.12,2.29,1.26,2.03,1.85,18.37,5.29
Captain America: The First Avenger,14.75,7.71,8.6,4.87,1.05,0.51,0.31,1.63,0.2,0.35,,0.09,0.62,1.51,0.28,0.06,0.24,0.06,0.13,0.72,0.45,0.03,0.1,0.07,1.5,1.03,1.41,0.77,10.28,3.84
The Avengers,80.56,20.22,22.01,30.83,5.08,1.76,1.48,6.61,0.5,1.74,,0.45,2.21,2.49,,,0.74,,0.39,3.18,3.17,0.17,,0.16,7.6,4.06,5.64,2.6,37.77,11.73
Iron Man 3,57.07,13.05,20.91,24.37,4.43,2.02,1.89,5.72,0.38,1.9,,0.5,3.29,1.67,,,0.65,,0.37,3.52,4.25,0.12,,0.18,5.5,3.51,5.33,2.05,38.96,8.84
Thor: The Dark World,26.22,8.86,11.18,20.36,2.13,1.1,1.13,3.21,0.31,1.4,,0.49,2.79,1.49,,,0.88,,0.31,2.56,3.16,0.15,,0.15,3.94,2.23,2.55,1.27,22.29,7.84
Captain America: The Winter Soldier,32.23,7.76,9.73,12.48,1.89,1.05,0.83,2.62,0.23,0.97,,0.25,0.85,1.05,,,0.37,,0.18,1.35,1.38,0.07,,0.08,2.12,1.68,1.84,1.05,16.89,6.7
Guardians of the Galaxy,37.21,10.15,7.01,24.6,2.65,1.63,1.38,3.67,0.42,1.17,,0.34,2.1,1.25,,,0.55,,0.31,2.53,2.52,0.21,,0.14,5.27,2.84,3.08,0.7,19.89,9.94
